cohort	case	source_sha256	frozen_air_sha256	final_air_sha256	classification	final_validation	issue_count
logical-final	cics-file--computed-unknown	730f690584fcbe6c0e0c7f62cf190bbcd0b62d678558603b150833c782476753	66c0152a88be3e85da4f2bee2f01b1eac5e1540d6293b4c157e3054db056ba04	cd2006ec822738da50eba68cf8cd0777b43a98f39bc16a0624adb650206d0a55	EXECUTABLE_EQUIVALENT	STRUCTURALLY_VALID	3
logical-final	cics-file--delete	08cf3a401ee534be6eaa7d5e769d9ddba7cc0ef0fc0377f672cb5216b2ed1946	7872b777bdeccc6f2e5507e0d7131a9de4bd133854f59506568a07526a7c0116	ae557d317de0321a6d1f708fbaf763bbf157eb5cde3c456576060cf81d9735f1	EXECUTABLE_EQUIVALENT	STRUCTURALLY_VALID	4
logical-final	cics-file--length-open	0a4febdfc7a1cefceebcd1c75a5011e2e6cd40d6bf267c8cb847b521c36c3231	6e09e8228405e150c4c9b88fb5c26b58b85c8b2cd3df7d9adba50319afd04316	a5c0642baf532e6b6c65c24274602e14433e92b7db45768902e5de23796399f2	EXECUTABLE_EQUIVALENT	STRUCTURALLY_VALID	6
logical-final	cics-file--read	70169de95a08b5af646ab797057f53bb76709645fd52b4d23169ab8d1b06ed56	67bfdedd8fb6f30746413aab77be043f7a68780c160061ef562745098472aa14	af48ca323f8c7ef909b5e3f6eafa13a61093f18b44729700edc39505528282c4	EXECUTABLE_EQUIVALENT	STRUCTURALLY_VALID	4
logical-final	cics-file--write	6c2f9a0e0b74ce12b4e4664ed6ec1ca89ee679427a8d9bb16e843900f75f7a8b	1d9e57fdd7ecd4c6b353f51754f2b2972d897da73d6a8dabad486770869abe52	74dba7b38365c4def01dfcb392a87bdae02edd923b416ac8bcf99f187ecfd385	EXECUTABLE_EQUIVALENT	STRUCTURALLY_VALID	4
logical-final	link-computed	deea7986d6ac4ab9a4e31d8f273550be4042c0ccf0f91c8742cbb267454881bf	76b64aff8c215cc0e797e166327f458a6566b8d96c8320f384c4b9e1b084f9b4	e075450ac0fb4bf2754fbd4cb71a35d114448bf81470d6de67dd567422b1f8b0	EXECUTABLE_EQUIVALENT	STRUCTURALLY_VALID	3
logical-final	link-literal	22798811d68dfe60c518c0a6e1d780bdbca224bb367313fd0fb32eeb7777ee42	98625cddc691a2d69fdcfbb92b36d1a94fc611fc1787b479549d902010af884c	268d3c8dabae089b4c59a476f566a6878935ee39d893beeb7303ff3c413e76e0	EXECUTABLE_EQUIVALENT	STRUCTURALLY_VALID	3
logical-final	link-multiple	a1b427059238aa540e95843f2f5710c1b4c3fd84b2583c4a5cb2e341b037e72d	632dce180190542fa0e590ec255e9c7c7d95c0945e526c3369eb2c9a4d8b78d4	fe81c605628da0081d1a1bc62c51665e2eedacda23d033f2b436a4aa7dcf1068	EXECUTABLE_EQUIVALENT	STRUCTURALLY_VALID	4
logical-final	link-unknown	f4fbab66db01e9920c2e57a1fbb87295ad4cd242a929fec9373a84a40489556b	36dfef6c17c43f8eb00c9ff1b0ed2d7b461ec0605acc219ec9a3777615a70894	9fe4967f4291dcb2349d924621e993cf6973c8a96175f064d02df28318e5304a	EXECUTABLE_EQUIVALENT	STRUCTURALLY_VALID	3
logical-final	logical--group	444bc01a6b03b8cdf63caf214e98fd2a03d354e309f3dd9e648e6ae691e69abd	7cdccfd7f8fe3d054dbf058d88b143531f18fcc9f1cac26bdee4f6600b6ea8a8	0851740e1e6cda24faabe26b0e8def2893261b0179a396e003bb967fa06a14e6	EXECUTABLE_EQUIVALENT	STRUCTURALLY_VALID	2
logical-final	logical--overlay-branch	86a0dbd80fa50513f59f3080a9cf4caedb810400a895b4d86164bf6bb74b64d8	aa39ab60e8c6f923cc646d5e90ee3336552959fdd3a427de5962f93c2063d957	dd148f39d0b8a77e109792a4a93eb4d11271c95bfe992f260ae4265551dbed3c	EXECUTABLE_EQUIVALENT	STRUCTURALLY_VALID	3
logical-final	logical--padding	f7c2da39ca13523a33949417933a6e3796c76286e2f1c4329db39dc2527b058f	9aef30053951f6eeef0f1a3cc0ba5d13d2b27c19dab818091521f24bdb109e78	9c0a1734afd04ba9c9b2b01e4e03465bb05443752dc25632eea3b48713628746	EXPECTED_COMPLETE_VIEW_RELATION	STRUCTURALLY_VALID	2
logical-final	logical--snapshot	0125dc84f14e5844d3e19c9fe30b48ae23945a04ade18174b4a6ce76528f7820	36065ed6444a9f65548e0bc1b420e073488ac4df8fb96db7a0fb59db0cc88b40	93ca0c03835123ad4bfbb8f4925a70982fa5695445c53a72529da6ed4828760d	EXECUTABLE_EQUIVALENT	STRUCTURALLY_VALID	2
logical-final	logical--unsupported	dff5cec7ac88eefccb022308f1545545a6fcf83427a144c518ebdaf1b321b64a	b2c876fe6a3d75d0608016185dbc13772e277c9acedae589e3872ba470322a28	a4ab0c29bd2b41396d12a7c60dac7df0150257dfd830fc875f42086e8f525d28	EXECUTABLE_EQUIVALENT	STRUCTURALLY_VALID	3
logical-final	r1--accept	b802f613becae0ae31f84cc059ba53b86bfe27f8b84082aedfca03599b5ba4f2	e0c3d8ca1bb1c35e509bdcce13ca80692299d99efa9d4bd81578582ba8acc699	003e4720d51d87645eda152e75a709841847c24ee0b0e78007f6785d4930adaf	EXECUTABLE_EQUIVALENT	STRUCTURALLY_VALID	3
logical-final	r1--alter	6f6e74befd79ff5232dab2fec84c11d77eab37b76623cde4fab0b80c3f97af06	17e5fd085c24a1d04ed2fc0bc547c8f8de42719cb81beb02d057af25b9d151d0	85fc0783a7951b2d70e7d542f0341ce3339204bbb336222dbd19479a28b549cf	EXECUTABLE_EQUIVALENT	STRUCTURALLY_VALID	3
logical-final	r1--base	fe37f3c0a63911a97e48ba288151256ecf72525d7797535e62ba715297725d09	d458b1f604a33173e0afe3613ce49ca458ffa6f4e7a13bd7f42ed9dddb23dfff	745e7c36091dbdf31f3d3b1f640952bb53f4a2e7c16de9680a53f95dbb511999	EXECUTABLE_EQUIVALENT	STRUCTURALLY_VALID	2
logical-final	r1--call-before	91ff72693f37dbe774082737c85ad3667c7d4c1e1c4ea75debf52933367bc726	eed57f943cc2420374b5de8bf2bde3564fd5675ac2f2e10476a685c2ca8b0cfa	9d7b6fc4999c2b5b450c4a5bb985529d2caf326bcfa1f123344a936b9c5f9d8a	EXECUTABLE_EQUIVALENT	STRUCTURALLY_VALID	4
logical-final	r1--compute	f730b049d6f87b3c43d1176ad213f59109f7781204631a3942b4935921a46bd9	c54fb07a8df5b6ac0a9803a15ac078ce2ac203987735af555d1f47ffdc67ae33	1b36105a60e15645d276f7912156ba2ad4c9f5e73f72530d96d29a2b142cd6be	EXECUTABLE_EQUIVALENT	STRUCTURALLY_VALID	3
logical-final	r1--display	80e49f688cbc9be978d2136876f87ff245a5ba219d70c7108975ca5e6a4e38af	68a157daabb325581762d37186398173984b710c9121776bd0e0baf1f33be20c	2f87786ad039323cfd457c457f5954f60d3a41cc0329930a84ba0a05beb4ffaf	EXECUTABLE_EQUIVALENT	STRUCTURALLY_VALID	3
