case,validation,rdStatus,rvStatus,rdPrepareMs,rdSolveMs,rvPrepareMs,rvSolveMs,productMs,targetsPrepared,groups,maxGroupBases,boundaryAlternatives,maxStateAlternatives,maxComponentCardinality,maxDecisionNodes,internedNodes,internedAlternatives,projectedAlternatives,worklistPushes,maxWorklistSize,operationsTransferred,joinEntriesVisited,stateCompareEntries
F1,STRUCTURALLY_VALID,ACCEPTED,ACCEPTED,11.208578,13.505225,15.808934,16.619645,48.596264,8,2,1,6,6,3,2,10,16,2,10,10,8,2,0
F-order-012,STRUCTURALLY_VALID,ACCEPTED,ACCEPTED,11.299222,11.486501,15.460862,18.533207,52.162595,18,3,1,12,12,4,3,21,39,3,10,10,8,3,0
F-order-021,STRUCTURALLY_VALID,ACCEPTED,ACCEPTED,10.570239,11.805801,15.468316,18.258218,50.565107,18,3,1,12,12,4,3,21,39,3,10,10,8,3,0
F-order-102,STRUCTURALLY_VALID,ACCEPTED,ACCEPTED,11.720215,12.237343,15.873371,18.508121,51.701699,18,3,1,12,12,4,3,21,39,3,10,10,8,3,0
F-order-120,STRUCTURALLY_VALID,ACCEPTED,ACCEPTED,10.456763,12.059952,15.593142,18.62307,50.631406,18,3,1,12,12,4,3,21,39,3,10,10,8,3,0
F-order-201,STRUCTURALLY_VALID,ACCEPTED,ACCEPTED,10.908553,11.846354,15.359389,18.23195,50.047878,18,3,1,12,12,4,3,21,39,3,10,10,8,3,0
F-order-210,STRUCTURALLY_VALID,ACCEPTED,ACCEPTED,10.549541,11.916461,15.347276,18.43532,49.633296,18,3,1,12,12,4,3,21,39,3,10,10,8,3,0
H2,STRUCTURALLY_VALID,ACCEPTED,ACCEPTED,11.153297,11.350255,15.704915,20.463239,51.433963,18,3,1,11,11,4,3,20,35,3,10,10,8,3,0
F5,INVALID_IR,,,,,,,,,,,,,,,,,,,,,,
MUST,STRUCTURALLY_VALID,ACCEPTED,ACCEPTED,11.233162,11.832219,14.471588,15.94431,46.282406,3,1,1,2,2,2,1,4,5,2,10,10,9,1,0
G-1,STRUCTURALLY_VALID,ACCEPTED,ACCEPTED,13.276469,17.342276,16.764919,48.776181,72.448752,72,1,8,16,100,9,22,962,3231,15,10,10,15,1,0
G-2,STRUCTURALLY_VALID,ACCEPTED,ACCEPTED,13.835343,16.951267,17.004113,59.183523,82.743802,88,1,8,24,136,10,29,1438,4986,22,10,10,15,1,0
G-4,STRUCTURALLY_VALID,ACCEPTED,ACCEPTED,13.520211,17.20659,17.01388,76.364708,101.993709,120,1,8,40,208,12,43,2396,8817,36,10,10,15,1,0
G-7,STRUCTURALLY_VALID,ACCEPTED,ACCEPTED,13.498472,20.010427,17.496656,108.296326,103.28339,168,1,8,64,316,15,64,3829,15296,57,10,10,15,1,0
I,STRUCTURALLY_VALID,ACCEPTED,ACCEPTED,28.611062,46.697439,25.896777,427.746743,323.161312,1024,1,32,0,528,32,32,33327,356244,32,10,10,40,1,0
E1,STRUCTURALLY_VALID,ACCEPTED,ACCEPTED,20.747475,20.958868,26.148795,35.585287,95.064047,21,1,8,15,16,2,15,162,225,15,1000,1000,1005,331,0
E3,STRUCTURALLY_VALID,ACCEPTED,ACCEPTED,23.990068,25.294846,25.849542,114.24007,152.524023,168,1,8,64,316,15,64,3816,15252,57,1000,1000,1005,331,0
