case,cfgMs,complete,dependencyMs,domain.boundaryStores,domain.groupsPerState,domain.joinInputAStores,domain.joinInputBStores,domain.joinOutputStores,domain.pointInputStores,domain.pointOutputStores,domain.pointsObserved,domain.statesObserved,domain.storeHighWater,domain.storesPerGroup,domain.totalStoresPerState,domain.weakAlternativesReturned,domain.weakCalls,domain.weakInput,domain.weakOutput,domain.writeAlternativesReturned,domain.writeCalls,domain.writeInput,domain.writeOutput,effectsMetrics.baseComparisons,effectsMetrics.operandVisits,effectsMetrics.statementsPrepared,effectsMetrics.targetsPrepared,effectsMs,executionStatus,exitCode,initialTargetCensus.comparisons,initialTargetCensus.targets,phase,rdEffectsMetrics.baseComparisons,rdEffectsMetrics.operandVisits,rdEffectsMetrics.statementsPrepared,rdEffectsMetrics.targetsPrepared,rdPrepareMs,rdReason,rdSolveMs,rdSolver.accumulatorStatesChanged,rdSolver.accumulatorStatesUnchanged,rdSolver.analysisPoints,rdSolver.boundaryJoins,rdSolver.contextualEdges,rdSolver.duplicatePushesSuppressed,rdSolver.edgeContributionJoins,rdSolver.edgeTransferInvocations,rdSolver.firstPublications,rdSolver.initializationAttempts,rdSolver.joinEntriesVisited,rdSolver.maxWorklistSize,rdSolver.nodesPopped,rdSolver.nodesTransferred,rdSolver.operationsTransferred,rdSolver.predecessorContributionReads,rdSolver.publishedStatesChanged,rdSolver.publishedStatesUnchanged,rdSolver.stateCompareEntries,rdSolver.successorContributionReads,rdSolver.worklistAttempts,rdSolver.worklistPushes,rdStatus,runtimeTotalSeconds,rvPreparationMetrics.baseComparisons,rvPreparationMetrics.basesIndexed,rvPreparationMetrics.bindingVisits,rvPreparationMetrics.correlationGroups,rvPreparationMetrics.eventsPrepared,rvPreparationMetrics.maxGroupBases,rvPreparationMetrics.objectPairsMaterialized,rvPreparationMetrics.objectsResolved,rvPreparationMetrics.operandVisits,rvPreparationMetrics.partitionSegments,rvPreparationMetrics.premiseMemberships,rvPreparationMetrics.statementsPrepared,rvPreparationMetrics.targetsPrepared,rvPrepareMs,rvSolveMs,rvSolver.accumulatorStatesChanged,rvSolver.accumulatorStatesUnchanged,rvSolver.analysisPoints,rvSolver.boundaryJoins,rvSolver.contextualEdges,rvSolver.duplicatePushesSuppressed,rvSolver.edgeContributionJoins,rvSolver.edgeTransferInvocations,rvSolver.firstPublications,rvSolver.initializationAttempts,rvSolver.joinEntriesVisited,rvSolver.maxWorklistSize,rvSolver.nodesPopped,rvSolver.nodesTransferred,rvSolver.operationsTransferred,rvSolver.predecessorContributionReads,rvSolver.publishedStatesChanged,rvSolver.publishedStatesUnchanged,rvSolver.stateCompareEntries,rvSolver.successorContributionReads,rvSolver.worklistAttempts,rvSolver.worklistPushes,rvStatus,rvWork.alternativeVisits,rvWork.contentReads,rvWork.contentUpdates,storageMetrics.basesIndexed,storageMetrics.bindingVisits,storageMetrics.objectPairsMaterialized,storageMetrics.objectsResolved,storageMetrics.premiseMemberships,validation,validationMs
F-order-False-False,13.065196,True,58.435124,16,4,16,16,16,16,16,8,2,4,4,16,27,9,3,4,36,12,3,4,0,9,8,0,8.035945,EXIT,0,9,12,dependency,9,9,8,12,5.186206,,12.981264,9,1,10,1,10,9,10,10,10,10,4,10,10,10,8,0,0,0,0,0,19,10,ACCEPTED,0.514687167997181,18,4,8,4,12,1,0,4,9,4,0,8,24,22.150164,14.757225,9,1,10,1,10,9,10,10,10,10,4,10,10,10,8,0,0,0,0,0,19,10,ACCEPTED,24,8,4,4,8,0,4,0,STRUCTURALLY_VALID,89.552321
F-order-False-True,13.099168,True,38.845454,,0,,,,,,,1,,,0,,,,,,,,,0,9,8,0,8.666128,EXIT,0,9,12,dependency,6,9,8,8,5.24936,OVERLAPPING_INITIAL_CONDITIONS,,,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED,0.46474230300373165,,,,,,,,,,,,,,4.991593,,,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED,,,,4,8,0,4,0,STRUCTURALLY_VALID,89.571957
F1-open,12.154975,True,37.308036,,,,,,,,,,,,,,,,,,,,,0,9,8,0,8.200083,EXIT,0,,,dependency,2,9,8,4,5.981168,OVERLAPPING_INITIAL_CONDITIONS,,,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED,0.4648698039964074,,,,,,,,,,,,,,4.663027,,,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED,,,,2,4,0,2,0,STRUCTURALLY_VALID,88.503138
H2-recall-loss-open,11.9532,True,39.095407,,0,,,,,,,1,,,0,,,,,,,,,0,9,8,0,8.868254,EXIT,0,6,9,dependency,4,9,8,6,5.59605,OVERLAPPING_INITIAL_CONDITIONS,,,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED,0.4646430729990243,,,,,,,,,,,,,,5.336118,,,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED,,,,3,6,0,3,0,STRUCTURALLY_VALID,90.190869
V2-E1-scaled-diamonds,27.927893,True,107.725562,128,1,2,128,2,128,2,998,9,128,128,128,,,,,508,261,64,128,49,367,1005,7,13.231177,EXIT,0,49,7,dependency,98,367,1005,14,9.440793,,20.195619,999,331,1000,1,1330,999,1330,1330,1000,1000,2648,1000,1000,1000,1005,0,0,0,0,0,1999,1000,ACCEPTED,0.8653793889970984,147,8,16,1,14,8,0,8,367,8,8,1005,21,26.135141,63.492777,999,331,1000,1,1330,999,1330,1330,1000,1000,331,1000,1000,1000,1005,0,0,0,0,0,1999,1000,ACCEPTED,381,339,8,8,16,0,8,8,STRUCTURALLY_VALID,122.434249
V2-E3-scaled-diamonds,27.271142,False,,,0,,,,,,,1,562500,,0,2352216,29,468750,562500,462978,4,65536,390625,49,367,1005,56,12.52137,TIMEOUT,143,49,56,rvSolve,98,367,1005,112,10.570693,,24.837558,999,331,1000,1,1330,999,1330,1330,1000,1000,2648,1000,1000,1000,1005,0,0,0,0,0,1999,1000,ACCEPTED,15.364222023003094,147,8,16,1,112,8,0,8,367,8,0,1005,168,26.604993,,,,,,,,,,,,,,,,,,,,,,,,ACCEPTED,,,,8,16,0,8,0,STRUCTURALLY_VALID,121.818462
V2-G-p1-open,13.523477,False,,256,1,0,256,,256,,1,5,256,30000,30000,6982332,192422,128,256,3518592,27488,1,256,49,37,15,56,11.073354,TIMEOUT,143,7,8,rvSolve,56,37,15,64,5.811099,,19.326753,9,1,10,1,10,9,10,10,10,10,8,10,10,10,15,0,0,0,0,0,19,10,ACCEPTED,15.36422834500263,63,8,16,1,64,8,0,8,37,8,0,15,72,21.772558,,,,,,,,,,,,,,,,,,,,,,,,ACCEPTED,,,,8,16,0,8,0,STRUCTURALLY_VALID,92.036346
V2-G-p1-private,14.033883,True,59.942828,2,1,2,2,2,2,2,8,9,2,2,2,,,,,16,15,1,2,49,37,15,7,11.309743,EXIT,0,7,1,dependency,56,37,15,8,6.100104,,15.128579,9,1,10,1,10,9,10,10,10,10,8,10,10,10,15,0,0,0,0,0,19,10,ACCEPTED,0.5648967930028448,63,8,16,1,8,8,0,8,37,8,8,15,9,21.881246,19.24834,9,1,10,1,10,9,10,10,10,10,1,10,10,10,15,0,0,0,0,0,19,10,ACCEPTED,15,9,8,8,16,0,8,8,STRUCTURALLY_VALID,94.195182
V2-G-p2-open,13.686363,False,,6561,1,0,6561,,6561,,1,3,6561,24576,24576,7303505,200767,4374,6561,3677729,28681,256,6561,49,37,15,56,11.165401,TIMEOUT,143,14,16,rvSolve,63,37,15,72,5.626805,,18.474717,9,1,10,1,10,9,10,10,10,10,8,10,10,10,15,0,0,0,0,0,19,10,ACCEPTED,15.332064558999264,77,8,16,1,72,8,0,8,37,8,0,15,88,22.152308,,,,,,,,,,,,,,,,,,,,,,,,ACCEPTED,,,,8,16,0,8,0,STRUCTURALLY_VALID,94.247537
V2-G-p2-private,13.992018,True,68.428639,4,1,2,4,2,4,2,8,9,4,4,4,,,,,22,18,2,4,49,37,15,7,11.950986,EXIT,0,14,2,dependency,63,37,15,9,6.328277,,14.037089,9,1,10,1,10,9,10,10,10,10,8,10,10,10,15,0,0,0,0,0,19,10,ACCEPTED,0.5648823869996704,77,8,16,1,9,8,0,8,37,8,8,15,11,22.208689,20.701306,9,1,10,1,10,9,10,10,10,10,1,10,10,10,15,0,0,0,0,0,19,10,ACCEPTED,19,9,8,8,16,0,8,8,STRUCTURALLY_VALID,94.06739
