
 Version: 2.1
 Chunks: 1
 Start: 2026-09-09 23:21:40 (UTC)
 Duration: 2 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.ModuleExport                          516          5021
 jdk.BooleanFlag                           505         14860
 jdk.SystemProcess                         383         40996
 jdk.ActiveSetting                         360         10031
 jdk.GCPhaseParallel                       245          6090
 jdk.PromoteObjectInNewPLAB                187          3136
 jdk.LongFlag                              161          5059
 jdk.ModuleRequire                         153          1377
 jdk.ObjectAllocationSample                150          2188
 jdk.UnsignedLongFlag                      132          4350
 jdk.TenuringDistribution                  105          1071
 jdk.InitialEnvironmentVariable             87          5842
 jdk.Deoptimization                         59          1465
 jdk.InitialSecurityProperty                49          2523
 jdk.NativeMethodSample                     47           517
 jdk.JavaErrorThrow                         34          2456
 jdk.GCPhasePauseLevel1                     31          1208
 jdk.GCPhasePauseLevel2                     30          1276
 jdk.NativeLibrary                          30          1885
 jdk.Checkpoint                             29        113366
 jdk.ThreadAllocationStatistics             29           264
 jdk.MetaspaceChunkFreeListSummary          28           504
 jdk.GCReferenceStatistics                  28           285
 jdk.StringFlag                             28           992
 jdk.IntFlag                                25           910
 jdk.PromoteObjectOutsidePLAB               20           314
 jdk.InitialSystemProperty                  15          2160
 jdk.DoubleFlag                             15           590
 jdk.GCHeapSummary                          14           518
 jdk.MetaspaceSummary                       14           686
 jdk.G1HeapSummary                          14           306
 jdk.UnsignedIntFlag                        14           459
 jdk.SafepointBegin                         12           160
 jdk.ExecuteVMOperation                     11           178
 jdk.ExecutionSample                        10           108
 jdk.ThreadStart                             8            87
 jdk.ThreadEnd                               8            72
 jdk.GarbageCollection                       7           161
 jdk.GCCPUTime                               7           116
 jdk.GCPhasePause                            7           161
 jdk.GCHeapMemoryPoolUsage                   6           209
 jdk.ClassLoaderStatistics                   6           157
 jdk.CodeCacheStatistics                     6           189
 jdk.OldGarbageCollection                    5            60
 jdk.FileRead                                5            91
 jdk.ThreadCPULoad                           4            64
 jdk.GCHeapMemoryUsage                       2            39
 jdk.YoungGarbageCollection                  2            26
 jdk.G1GarbageCollection                     2            26
 jdk.G1MMU                                   2            26
 jdk.EvacuationInformation                   2            50
 jdk.G1EvacuationYoungStatistics             2            56
 jdk.G1EvacuationOldStatistics               2            47
 jdk.G1BasicIHOP                             2            75
 jdk.G1AdaptiveIHOP                          2            76
 jdk.OldObjectSample                         2            62
 jdk.PhysicalMemory                          2            33
 jdk.GCConfiguration                         2            49
 jdk.Metadata                                1        103224
 jdk.ResidentSetSize                         1            15
 jdk.Shutdown                                1            47
 jdk.JVMInformation                          1           666
 jdk.OSInformation                           1           242
 jdk.VirtualizationInformation               1            34
 jdk.CPUInformation                          1          1522
 jdk.CPUTimeStampCounter                     1            18
 jdk.CPULoad                                 1            19
 jdk.JavaThreadStatistics                    1            11
 jdk.ClassLoadingStatistics                  1            10
 jdk.CompilerStatistics                      1            27
 jdk.CompilerConfiguration                   1             9
 jdk.CodeCacheConfiguration                  1            44
 jdk.GCSurvivorConfiguration                 1             9
 jdk.GCTLABConfiguration                     1            11
 jdk.GCHeapConfiguration                     1            24
 jdk.YoungGenerationConfiguration            1            16
 jdk.ExceptionStatistics                     1            12
 jdk.ActiveRecording                         1            47
 jdk.ProcessStart                            0             0
 jdk.SecurityPropertyModification            0             0
 jdk.SecurityProviderService                 0             0
 jdk.ContainerConfiguration                  0             0
 jdk.ThreadSleep                             0             0
 jdk.TLSHandshake                            0             0
 jdk.ThreadPark                              0             0
 jdk.ContainerCPUUsage                       0             0
 jdk.JavaMonitorEnter                        0             0
 jdk.VirtualThreadStart                      0             0
 jdk.JavaMonitorWait                         0             0
 jdk.ContainerCPUThrottling                  0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.VirtualThreadEnd                        0             0
 jdk.SyncOnValueBasedClass                   0             0
