
 Version: 2.1
 Chunks: 1
 Start: 2026-09-09 23:30:01 (UTC)
 Duration: 4 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.GCPhaseParallel                      2622         67068
 jdk.PromoteObjectInNewPLAB               1452         24642
 jdk.ObjectAllocationSample                748         11154
 jdk.ModuleExport                          516          5002
 jdk.BooleanFlag                           505         14860
 jdk.SystemProcess                         386         41040
 jdk.ActiveSetting                         360         10031
 jdk.TenuringDistribution                  330          3365
 jdk.LongFlag                              161          5059
 jdk.ExecutionSample                       153          1678
 jdk.ModuleRequire                         153          1377
 jdk.UnsignedLongFlag                      132          4350
 jdk.GCPhasePauseLevel1                    126          4925
 jdk.MetaspaceChunkFreeListSummary         108          1944
 jdk.GCReferenceStatistics                 108          1086
 jdk.InitialEnvironmentVariable             87          5842
 jdk.GCPhasePauseLevel2                     80          3005
 jdk.Deoptimization                         66          1617
 jdk.Checkpoint                             55        153862
 jdk.GCHeapSummary                          54          2037
 jdk.MetaspaceSummary                       54          2646
 jdk.G1HeapSummary                          54          1327
 jdk.InitialSecurityProperty                49          2523
 jdk.NativeMethodSample                     47           517
 jdk.SafepointBegin                         36           488
 jdk.ExecuteVMOperation                     36           594
 jdk.JavaErrorThrow                         34          2473
 jdk.GCCPUTime                              32           501
 jdk.GCPhasePause                           32           770
 jdk.PromoteObjectOutsidePLAB               31           488
 jdk.GCPhaseConcurrent                      30          1366
 jdk.NativeLibrary                          30          1885
 jdk.ThreadAllocationStatistics             28           255
 jdk.StringFlag                             28           989
 jdk.GarbageCollection                      27           608
 jdk.G1MMU                                  27           351
 jdk.ThreadEnd                              26           234
 jdk.IntFlag                                25           910
 jdk.GCPhaseConcurrentLevel1                20           743
 jdk.YoungGarbageCollection                 17           220
 jdk.G1GarbageCollection                    17           220
 jdk.EvacuationInformation                  17           437
 jdk.G1EvacuationYoungStatistics            17           449
 jdk.G1EvacuationOldStatistics              17           434
 jdk.G1BasicIHOP                            17           655
 jdk.G1AdaptiveIHOP                         17           656
 jdk.ThreadStart                            16           175
 jdk.InitialSystemProperty                  15          2161
 jdk.DoubleFlag                             15           590
 jdk.UnsignedIntFlag                        14           459
 jdk.ThreadCPULoad                          13           208
 jdk.OldGarbageCollection                   10           120
 jdk.GCHeapMemoryPoolUsage                   6           209
 jdk.ClassLoaderStatistics                   6           157
 jdk.CodeCacheStatistics                     6           189
 jdk.OldObjectSample                         5           159
 jdk.FileRead                                5            91
 jdk.ResidentSetSize                         3            51
 jdk.CPULoad                                 3            57
 jdk.JavaThreadStatistics                    3            33
 jdk.ClassLoadingStatistics                  3            30
 jdk.CompilerStatistics                      3            84
 jdk.ExceptionStatistics                     3            36
 jdk.GCHeapMemoryUsage                       2            39
 jdk.CompilationFailure                      2           110
 jdk.PhysicalMemory                          2            33
 jdk.GCConfiguration                         2            49
 jdk.Metadata                                1        103224
 jdk.Shutdown                                1            47
 jdk.JVMInformation                          1           661
 jdk.OSInformation                           1           242
 jdk.VirtualizationInformation               1            34
 jdk.CPUInformation                          1          1522
 jdk.CPUTimeStampCounter                     1            18
 jdk.CompilerConfiguration                   1             9
 jdk.CodeCacheConfiguration                  1            44
 jdk.GCSurvivorConfiguration                 1             9
 jdk.GCTLABConfiguration                     1            11
 jdk.GCHeapConfiguration                     1            24
 jdk.YoungGenerationConfiguration            1            16
 jdk.ActiveRecording                         1            47
 jdk.ProcessStart                            0             0
 jdk.SecurityPropertyModification            0             0
 jdk.SecurityProviderService                 0             0
 jdk.ContainerConfiguration                  0             0
 jdk.ThreadSleep                             0             0
 jdk.TLSHandshake                            0             0
 jdk.ThreadPark                              0             0
 jdk.ContainerCPUUsage                       0             0
 jdk.JavaMonitorEnter                        0             0
 jdk.VirtualThreadStart                      0             0
 jdk.JavaMonitorWait                         0             0
 jdk.ContainerCPUThrottling                  0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.VirtualThreadEnd                        0             0
 jdk.SyncOnValueBasedClass                   0             0
 jdk.ContainerMemoryUsage                    0             0
 jdk.ContinuationFreeze                      0             0
 jdk.VirtualThreadPinned                     0             0
 jdk.ContinuationThaw                        0             0
 jdk.ContainerIOUsage                        0             0
 jdk.ContinuationFreezeFast                  0             0
 jdk.VirtualThreadSubmitFailed               0             0
 jdk.ContinuationFreezeSlow                  0             0
 jdk.ContinuationThawFast                    0             0
 jdk.X509Certificate                         0             0
 jdk.ContinuationThawSlow                    0             0
 jdk.ReservedStackActivation                 0             0
 jdk.X509Validation                          0             0
 jdk.ClassLoad                               0             0
 jdk.ClassDefine                             0             0
 jdk.ClassRedefinition                       0             0
 jdk.DirectBufferStatistics                  0             0
 jdk.RedefineClasses                         0             0
 jdk.RetransformClasses                      0             0
 jdk.ClassUnload                             0             0
 jdk.IntFlagChanged                          0             0
 jdk.UnsignedIntFlagChanged                  0             0
 jdk.LongFlagChanged                         0             0
 jdk.UnsignedLongFlagChanged                 0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.StringFlagChanged                       0             0
 jdk.MetaspaceGCThreshold                    0             0
 jdk.MetaspaceAllocationFailure              0             0
 jdk.MetaspaceOOM                            0             0
 jdk.PSHeapSummary                           0             0
 jdk.SystemGC                                0             0
 jdk.ParallelOldGarbageCollection            0             0
 jdk.ObjectCountAfterGC                      0             0
 jdk.PromotionFailed                         0             0
 jdk.EvacuationFailed                        0             0
 jdk.ConcurrentModeFailure                   0             0
 jdk.GCPhasePauseLevel3                      0             0
 jdk.GCPhasePauseLevel4                      0             0
 jdk.GCPhaseConcurrentLevel2                 0             0
 jdk.AllocationRequiringGC                   0             0
 jdk.G1HeapRegionTypeChange                  0             0
 jdk.JITRestart                              0             0
 jdk.Compilation                             0             0
 jdk.CompilerPhase                           0             0
 jdk.CompilerInlining                        0             0
 jdk.CodeCacheFull                           0             0
 jdk.SafepointStateSynchronization           0             0
 jdk.SafepointCleanup                        0             0
 jdk.SafepointCleanupTask                    0             0
 jdk.SafepointEnd                            0             0
 jdk.ObjectAllocationInNewTLAB               0             0
 jdk.ObjectAllocationOutsideTLAB             0             0
 jdk.NativeMemoryUsage                       0             0
 jdk.NativeMemoryUsageTotal                  0             0
 jdk.DumpReason                              0             0
 jdk.DataLoss                                0             0
 jdk.ThreadContextSwitchRate                 0             0
 jdk.NetworkUtilization                      0             0
 jdk.SymbolTableStatistics                   0             0
 jdk.StringTableStatistics                   0             0
 jdk.ThreadDump                              0             0
 jdk.ObjectCount                             0             0
 jdk.G1HeapRegionInformation                 0             0
 jdk.ZYoungGarbageCollection                 0             0
 jdk.ZOldGarbageCollection                   0             0
 jdk.ZAllocationStall                        0             0
 jdk.ZPageAllocation                         0             0
 jdk.ZRelocationSet                          0             0
 jdk.ZRelocationSetGroup                     0             0
 jdk.ZStatisticsCounter                      0             0
 jdk.ZStatisticsSampler                      0             0
