
 Version: 2.1
 Chunks: 1
 Start: 2026-09-10 00:44:48 (UTC)
 Duration: 2 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.ModuleExport                          516          5026
 jdk.BooleanFlag                           505         15365
 jdk.SystemProcess                         377         40214
 jdk.ActiveSetting                         360         10031
 jdk.GCPhaseParallel                       215          5433
 jdk.PromoteObjectInNewPLAB                189          3168
 jdk.LongFlag                              161          5220
 jdk.ObjectAllocationSample                153          2231
 jdk.ModuleRequire                         153          1377
 jdk.UnsignedLongFlag                      132          4482
 jdk.TenuringDistribution                  105          1071
 jdk.InitialEnvironmentVariable             87          5842
 jdk.InitialSecurityProperty                49          2572
 jdk.Deoptimization                         49          1209
 jdk.NativeMethodSample                     47           517
 jdk.JavaErrorThrow                         35          2576
 jdk.GCPhasePauseLevel1                     31          1205
 jdk.Checkpoint                             30        112514
 jdk.GCPhasePauseLevel2                     30          1276
 jdk.NativeLibrary                          30          1900
 jdk.ThreadAllocationStatistics             29           277
 jdk.MetaspaceChunkFreeListSummary          28           504
 jdk.GCReferenceStatistics                  28           286
 jdk.StringFlag                             28          1033
 jdk.IntFlag                                25           935
 jdk.PromoteObjectOutsidePLAB               17           267
 jdk.InitialSystemProperty                  15          2160
 jdk.DoubleFlag                             15           605
 jdk.GCHeapSummary                          14           518
 jdk.MetaspaceSummary                       14           686
 jdk.G1HeapSummary                          14           306
 jdk.UnsignedIntFlag                        14           473
 jdk.SafepointBegin                         12           161
 jdk.ExecuteVMOperation                     11           179
 jdk.ExecutionSample                        10           108
 jdk.ThreadStart                             7            78
 jdk.GarbageCollection                       7           161
 jdk.GCCPUTime                               7           122
 jdk.GCPhasePause                            7           161
 jdk.ThreadEnd                               6            54
 jdk.GCHeapMemoryPoolUsage                   6           209
 jdk.ClassLoaderStatistics                   6           157
 jdk.CodeCacheStatistics                     6           192
 jdk.OldGarbageCollection                    5            60
 jdk.FileRead                                5            91
 jdk.OldObjectSample                         4           128
 jdk.ThreadCPULoad                           3            48
 jdk.GCHeapMemoryUsage                       2            39
 jdk.YoungGarbageCollection                  2            26
 jdk.G1GarbageCollection                     2            26
 jdk.G1MMU                                   2            26
 jdk.EvacuationInformation                   2            50
 jdk.G1EvacuationYoungStatistics             2            58
 jdk.G1EvacuationOldStatistics               2            47
 jdk.G1BasicIHOP                             2            75
 jdk.G1AdaptiveIHOP                          2            76
 jdk.PhysicalMemory                          2            34
 jdk.GCConfiguration                         2            50
 jdk.Metadata                                1        103224
 jdk.ResidentSetSize                         1            15
 jdk.Shutdown                                1            47
 jdk.JVMInformation                          1           692
 jdk.OSInformation                           1           242
 jdk.VirtualizationInformation               1            34
 jdk.CPUInformation                          1          1522
